file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00676_0473_3177158_to_3182858,དེ་ཡི་དོན་དུ་བརྩོན་པར་བྱ་བའོ། ཞེས་གསུངས་སོ། ད་གསུམ་པ་ནི་ཟེ། ད་གསུམ་པ། ག་རེ་ཡིན་གོ། ཕན་ཡོན་གསུམ་པ།  ,de yi don du brtson par bya ba'o/_zhes gsungs so/_da gsum pa ni ze/_da gsum pa/_ga re yin go/_phan yon gsum pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00676_0473_3177158_to_3182858.wav,STT_TT,3,99,5.7,wav16k/STT_TT00676_0473_3177158_to_3182858.wav,དེའི་དོན་དུ་བརྩོན་པར་བྱ་བའོ། ཞེས་གསུངས་སོ། ད་གསུམ་པ་ནི་ཟེ། ད་གསུམ་པ་ག་རེ་ཡིན་གོ། ཕན་ཡོན་གསུམ་པ།
STT_TT00694_0211_1322061_to_1324141,ང་ཚོ་སྐྱེ་བ་འབུམ་ཕྲག་མང་པོ་ནས། འདི་འཆུགས།  ,nga tsho skye ba 'bum phrag mang po nas/_'di 'chugs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00694_0211_1322061_to_1324141.wav,STT_TT,3,43,2.08,wav16k/STT_TT00694_0211_1322061_to_1324141.wav,ང་ཚོ་སྐྱེ་བ་འབུམ་ཕྲག་མང་པོ་ནས། འདིཆ།
STT_TT00693_0060_448119_to_450775,གཞན་ལ། སྐྱོན་གྱི་ཕྱོགས་ནས། བསམ་པ་དང་།  ,gzhan la/_skyon gyi phyogs nas/_bsam pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00693_0060_448119_to_450775.wav,STT_TT,3,39,2.656,wav16k/STT_TT00693_0060_448119_to_450775.wav,གཞན་ལ་སྐྱོན་གྱི་ཕྱོགས་ནས་བསམ་པ་དང་།
STT_TT00676_0078_464987_to_467099,ད། སོ་སོའི་སེམས་ཀྱི་ནང་ལ།  ,da/_so so'i sems kyi nang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00676_0078_464987_to_467099.wav,STT_TT,3,27,2.112,wav16k/STT_TT00676_0078_464987_to_467099.wav,ད་སོ་སོའི་སེམས་ཀི་ནང་ལ།
STT_TT00689_0256_1712945_to_1715921,བླ་མ་རིན་མོ་ཆེ། སྐྱབས་གནས་ཀུན་འདུས་ཀི་བདག་ཉིད་ལ་ཡ། མོས་ནས།  ,bla ma rin mo che/_skyabs gnas kun 'dus ki bdag nyid la ya/_mos nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00689_0256_1712945_to_1715921.wav,STT_TT,3,60,2.976,wav16k/STT_TT00689_0256_1712945_to_1715921.wav,བླ་མ་རིན་པོ་ཆེ། སྐྱབས་གནས་ཀུན་བཏུས་ཀི་བདག་ཉིད་ལ་ཡ་མོས་ནས།
STT_TT00690_0457_3148794_to_3150874,བྱེ་བྲག་ཏུ་ཡང་། འདི་ནས་མ་ཤིའི་བར་དང་།  ,bye brag tu yang /_'di nas ma shi'i bar dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00690_0457_3148794_to_3150874.wav,STT_TT,3,39,2.08,wav16k/STT_TT00690_0457_3148794_to_3150874.wav,བྱེ་བྲག་ཏུ་ཡང་འདི་ནི་མ་ཤིའི་བར་དང་།
STT_PC0084_0053_566262_to_569622,ཕོ་བ་ལ་གཉན་ཁ་བཟོས། རྨ་བཟོས། ཐ་ན་སྨུག་པོ་བཟོས། ཐ་ན་སྐྲན་ལ་འགྱུར་ཡ་དེ་ཡང་ང་ཚོས་ ,pho ba la gnyan kha bzos/_rma bzos/_tha na smug po bzos/_tha na skran la 'gyur ya de yang nga tshos _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0084_0053_566262_to_569622.wav,STT_PC,3,78,3.36,wav16k/STT_PC0084_0053_566262_to_569622.wav,ཕོ་བ་ལ་གཉེན་ཁ་བཟོས། རྨ་བཟོས། ཐ་ན་སྨུག་པོ་བཟོས། ཐ་ན་སྐྲན་ལ་སྐྱུར་ཡ་དེ་ཡེ་ང་ཚོས་
STT_TT00683_0360_3046441_to_3049481,བློ་ལ་ཆོས་ཅན། གང་འདྲའི་ཅིག་ཤར་ན་ཡང་། སྣང་ན་ཡང་།  ,blo la chos can/_gang 'dra'i cig shar na yang /_snang na yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00683_0360_3046441_to_3049481.wav,STT_TT,3,49,3.04,wav16k/STT_TT00683_0360_3046441_to_3049481.wav,བློ་ལ་ཆོས་ཅན་ག་འདྲའི་ཅིག་ཤར་ན་ཡང་། སྣང་ན་ཡང་།
STT_TT00681_0219_1425848_to_1427864,མ་ལུས་པའི་མཐར་ཐུག་པ་ལ་བརྩོན་ཞིང་།  ,ma lus pa'i mthar thug pa la brtson zhing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00681_0219_1425848_to_1427864.wav,STT_TT,3,35,2.016,wav16k/STT_TT00681_0219_1425848_to_1427864.wav,མ་ལུས་པའི་མཐར་ཐུག་པ་ལ་བརྩོན་ཞིང་།
STT_TT00693_0141_1014715_to_1016763,ཁ་གཏད་གཅག་ཡ་གི། ཤུགས་ཅིག་རྒྱག་དགོས་ཀི་ཡོད་རེད།  ,kha gtad gcag ya gi/_shugs cig rgyag dgos ki yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00693_0141_1014715_to_1016763.wav,STT_TT,3,48,2.048,wav16k/STT_TT00693_0141_1014715_to_1016763.wav,ཁ་གཏད་གཅག་ཡ་གི་ཤུགས་གཅིག་རྒྱག་དགོས་ཀི་ཡོད་རེད།
STT_TT00686_0262_1759291_to_1763558,ཁ་ནས་རྦད་དེ་ཁོ་རང་། ཆོས་ཀི་དབྱིངས་ཟེར་ངེ་གི་སྒྲ་ཙམ་ཅིག ,kha nas rbad de kho rang /_chos ki dbyings zer nge gi sgra tsam cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00686_0262_1759291_to_1763558.wav,STT_TT,3,55,4.267,wav16k/STT_TT00686_0262_1759291_to_1763558.wav,ཁ་ནས་རྦད་དེ་ཁོ་རང་ཆོས་ཀི་དབྱིངས་ཟེར་ངེ་གི་སྒྲ་ཙམ་ཅིག
STT_TT00676_0440_2962790_to_2967192,ཅི། ག་རེ་ཟ། གཞན་གི་དོན་དུ་ཟེ་ཡ་ཅིག སོ་སོའི་སྐྱེ་བོ་ཡིན་པ་ཡིན་ན་ཡང་།  ,ci/_ga re za/_gzhan gi don du ze ya cig_so so'i skye bo yin pa yin na yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00676_0440_2962790_to_2967192.wav,STT_TT,3,69,4.402,wav16k/STT_TT00676_0440_2962790_to_2967192.wav,ཅིག་ག་རེ་ཟ། གཞན་གྱི་དོན་དུ་ཟེར་ཡ་ཅིག སོ་སོའི་སྐྱེ་བོ་ཡིན་པ་ཡིན་ན་ཡང་།
STT_TT00683_0403_3368761_to_3371161,བདེན་པར་གྲུབ་པ་འཛིན་པའི། བདེན་ཚུལ་གི།  ,bden par grub pa 'dzin pa'i/_bden tshul gi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00683_0403_3368761_to_3371161.wav,STT_TT,3,39,2.4,wav16k/STT_TT00683_0403_3368761_to_3371161.wav,བདེན་པར་གྲུབ་པ་འཛིན་པའི་བདེན་ཚུལ་གི་
STT_TT00675_0207_1958791_to_1961383,མིང་འདོགས་པ་ན་ཟེ། ད་མིང་ག་རེ་བཏགས་ཀི་ཡོད། ཟེ་དུས།  ,ming 'dogs pa na ze/_da ming ga re btags ki yod/_ze dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00675_0207_1958791_to_1961383.wav,STT_TT,3,51,2.592,wav16k/STT_TT00675_0207_1958791_to_1961383.wav,མིང་འདོགས་པ་ན་ཟེ། ད་མིང་ག་རེ་བཏགས་ཀིས་ཟེར་དུས།
